,Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name,Venue_Rating
0,Clinton,3fd66200f964a5200ae91ee3,Frames Bowling Lounge,340,550 9th Ave,40.75718734842475,-73.9929652419508,4bf58dd8d48988d1e4931735,Bowling Alley,6.8
1,Murray Hill,42869100f964a52018231fe3,5th ave. arcade inc.,348,260 5th Ave,40.74660214961864,-73.98180057964791,4bf58dd8d48988d1e1931735,Arcade,Not Rated
2,Coney Island,49ebfb9df964a5204d671fe3,Eldorado Bumper Cars & Arcade,725,1216 Surf Ave,40.5752214689074,-73.98018786277851,4bf58dd8d48988d1e1931735,Arcade,8.3
3,Midtown South,4a326ac3f964a520499a1fe3,Kaufman Arcade,300,139 W 35th Street,40.751193348681895,-73.98908288943251,4bf58dd8d48988d130941735,Building,Not Rated
4,Upper East Side,4b996827f964a520377935e3,Central Park - The Arcade,902,Central Park,40.77385953238675,-73.97095245470804,4bf58dd8d48988d164941735,Plaza,8.8
5,Ocean Hill,4bf9ff045ec320a12d298bd3,Arcade Restaurant,362,No Address,40.68148400000001,-73.911668,4bf58dd8d48988d130941735,Building,Not Rated
6,Coney Island,4c2e9b5b09a99c746c9c0a2a,Deno's Arcade,818,1025 Boardwalk W,40.57388221768576,-73.9790153503418,4bf58dd8d48988d1e1931735,Arcade,Not Rated
7,Prospect Heights,4c4a1cb69c8d2d7fb1be1069,At the arcade,369,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade,Not Rated
8,Central Harlem,4c649a46e0c4be9aca168658,Harlem Arcade,160,No Address,40.81629020872888,-73.94135070405183,4bf58dd8d48988d1e1931735,Arcade,Not Rated
9,Little Italy,4cbf45eb28d176b0b0ef226e,Moto Arcade,262,201 Mulberry St,40.72161581,-73.996588,4bf58dd8d48988d11a941735,Other Nightlife,Not Rated
10,Little Italy,4cc0d53922ce4688bbe33947,MotoArcade!,255,No Address,40.721567,-73.996672,4bf58dd8d48988d1e1931735,Arcade,Not Rated
11,Ridgewood,4cca09529b934688142d4c41,Arcade Bookbinding Corp.,1370,801 Wyckoff Avenue,40.69720247162584,-73.90839396773141,4bf58dd8d48988d130941735,Building,Not Rated
12,Elmhurst,4d0c6d185c46a093ec8708b4,Flynn's Arcade,1241,No Address,40.73290252072499,-73.88213696433121,4bf58dd8d48988d18d941735,Gaming Cafe,Not Rated
